$ modstat
NAME              CLASS    SOURCE   FLAG  REFS    SIZE REQUIRES
aes               misc     builtin  -        1       - -
aes_ccm           misc     builtin  -        0       - aes
aio               misc     builtin  -        0       - -
blake2s           misc     builtin  -        0       - -
blowfish          misc     builtin  -        1       - -
bpf               driver   builtin  -        1       - bpf_filter
bpf_filter        misc     builtin  -        1       - -
bufq_disksort     bufq     builtin  -        0       - -
bufq_fcfs         bufq     builtin  -        0       - -
camellia          misc     builtin  -        1       - -
cast128           misc     builtin  -        1       - -
chacha            misc     builtin  -        0       - -
clockctl          driver   builtin  -        0       - -
compat_util       misc     builtin  -        0       - -
cons              driver   builtin  -        0       - -
coredump          misc     builtin  -        0       - -
des               misc     builtin  -        1       - -
dk_subr           misc     builtin  -        0       - -
exec_aout         exec     builtin  -        0       - -
exec_elf32        exec     builtin  -        0       - -
exec_script       exec     builtin  -        0       - -
ext2fs            vfs      builtin  -        0       - ufs
extensions        secmodel builtin  -        1       - -
ffs               vfs      builtin  -        0       - ufs
if_loop           driver   builtin  -        0       - -
if_npflog         driver   builtin  -        0       - -
if_ppp            driver   builtin  -        0       - slcompress
if_pppoe          driver   builtin  -        0       - sppp_subr
if_tun            driver   builtin  -        0       - -
kernfs            vfs      builtin  -        0       - -
ksem              misc     builtin  -        0       - -
mqueue            misc     builtin  -        0       - -
msdos             vfs      builtin  -        0       - -
npf               misc     builtin  -        4       - bpf
npf_alg_icmp      misc     builtin  -        0       - npf
npf_ext_log       misc     builtin  -        0       - npf
npf_ext_normalize misc     builtin  -        0       - npf
npf_ext_rndblock  misc     builtin  -        0       - npf
opencrypto        misc     builtin  -        1       - -
procfs            vfs      builtin  -        0       - ptrace_common
ptrace            exec     builtin  -        0       - ptrace_common
ptrace_common     exec     builtin  -        2       - -
ptyfs             vfs      builtin  -        0       - -
secmodel_bsd44    secmodel builtin  -        0       - suser,securelevel,extensions
securelevel       secmodel builtin  -        1       - -
skipjack          misc     builtin  -        1       - -
slcompress        misc     builtin  -        1       - -
sppp_subr         misc     builtin  -        1       - -
suser             secmodel builtin  -        1       - -
swcrypto          driver   builtin  -        0       - opencrypto,zlib,blowfish,des,cast128,camellia,skipjack
sysv_ipc          exec     builtin  -        0       - -
ufs               misc     builtin  -        2       - -
vnd               driver   builtin  -        0       - -
zlib              misc     builtin  -        1       - -
